id;author_id;title/fr;description/fr;comments;created_at;url;component/id
29;;Comment faire partager ces choix à l’échelon européen et international pour que nos agriculteurs et nos industriels ne soient pas pénalisés par rapport à leurs concurrents étrangers ?;"<p><strong>Transition écologique&nbsp;</strong></p>";29;2019-01-16 10:58:44 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/29;112
30;;Faut-il reconnaître le vote blanc ? ;<p><strong>Démocratie et citoyenneté</strong></p>;75;2019-01-16 10:59:37 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/30;112
36;;Faut-il associer davantage et directement des citoyens non élus, par exemple tirés au sort, à la décision publique ?;<p><strong>Démocratie et citoyenneté</strong></p>;48;2019-01-16 11:04:00 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/36;112
35;;Quelles évolutions souhaitez-vous pour rendre la participation citoyenne plus active, la démocratie plus participative ?;<p><strong>Démocratie et citoyenneté</strong></p>;22;2019-01-16 11:03:28 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/35;112
38;;Que proposez-vous pour améliorer l’intégration dans notre Nation ? ;<p><strong>Démocratie et citoyenneté</strong></p>;24;2019-01-16 11:05:18 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/38;112
31;;Faut-il rendre le vote obligatoire ?;<p><strong>Démocratie et citoyenneté</strong></p>;31;2019-01-16 11:01:00 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/31;112
32;;Quelle est la bonne dose de proportionnelle aux élections législatives pour une représentation plus juste de tous les projets politiques ?;<p><strong>Démocratie et citoyenneté</strong></p>;21;2019-01-16 11:01:36 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/32;112
34;;Quel rôle nos assemblées, dont le Sénat et le Conseil Économique, Social et Environnemental, doivent-elles jouer pour représenter nos territoires et la société civile ? Faut-il les transformer et comment ?;<p><strong>Démocratie et citoyenneté</strong></p>;8;2019-01-16 11:02:51 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/34;112
33;;Faut-il, et dans quelles proportions, limiter le nombre de parlementaires ou autres catégories d’élus ?;<p><strong>Démocratie et citoyenneté</strong></p>;15;2019-01-16 11:02:15 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/33;112
37;;Faut-il accroître le recours aux référendums et qui doit en avoir l’initiative ?;<p><strong>Démocratie et citoyenneté</strong></p>;29;2019-01-16 11:04:40 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/37;112
39;;En matière d’immigration, une fois nos obligations d’asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?  Que proposez-vous afin de répondre à ce défi qui va durer ?;<p><strong>Démocratie et citoyenneté</strong></p>;12;2019-01-16 11:05:55 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/39;112
40;;Comment renforcer les principes de la laïcité française, dans le rapport entre l’État et les religions de notre pays ? ;<p><strong>Démocratie et citoyenneté</strong></p>;14;2019-01-16 11:06:29 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/40;112
41;;Comment garantir le respect par tous de la compréhension réciproque et des valeurs intangibles de la République ?;<p><strong>Démocratie et citoyenneté</strong></p>;8;2019-01-16 11:07:09 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/41;112
28;;Comment devons-nous garantir scientifiquement les choix que nous devons faire pour la transition écologique ? ;"<p><strong>Transition écologique&nbsp;</strong></p>";15;2019-01-16 10:58:06 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/28;112
14;; Quels impôts faut-il à vos yeux baisser en priorité ?;<p> <strong>Impôts, dépenses, action publique</strong></p>;63;2019-01-16 10:47:46 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/14;112
15;;Quelles sont les économies qui vous semblent prioritaires à faire ?;<p><strong>Impôts, dépenses, action publique</strong></p>;55;2019-01-16 10:48:32 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15;112
16;;Faut-il supprimer certains services publics qui seraient dépassés ou trop chers par rapport à leur utilité ? ;<p><strong>Impôts, dépenses, action publique</strong></p>;28;2019-01-16 10:49:57 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/16;112
18;;Comment mieux organiser notre pacte social ? Quels objectifs définir en priorité ?;<p><strong>Impôts, dépenses, action publique</strong></p>;14;2019-01-16 10:51:05 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/18;112
20;;Faut-il renforcer la décentralisation et donner plus de pouvoir de décision et d’action au plus près des citoyens ? À quels niveaux et pour quels services ?;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;4;2019-01-16 10:52:27 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/20;112
19;;Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;10;2019-01-16 10:51:55 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/19;112
21;;Comment voudriez-vous que l’État soit organisé et comment peut-il améliorer son action ? ;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;6;2019-01-16 10:53:10 +0100;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/21;112
