body;question;categorie
bien sûr qu'il faut prendre en compte le vote blanc.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui c'est une vraie expression citoyenne qu'il faut reconnaître. Si le vote blanc arrive majoritaire, il y aurait une obligation de représenter de nouveaux candidats/listes. Reconnaître le vote blanc c'est contribuer à lutter contre l'abstentionnisme;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le vote blanc pourrait être un bon indicateur pour les candidats à savoir s'ils répondent aux attentes des citoyens ou bien sont-ils éloignés de la réalité du terrain.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui il faut reconnaître le vote blanc pour éviter de toujours voter contre et non pour;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
J’approuve le vote blanc. Si des citoyens ont pris la peine d’exprimer ce choix il est important de le reconnaitre et de comprendre ce que vote signifie. ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui il faut reconnaître le vote blanc. Au contraire des abstentionnistes, les électeurs participent en votant blanc. Si aucun candidat ne répond aux attentes, le vote blanc pris en compte permettra aux candidats de se remettre en question et de réfléchir à d'autres propositions politiques.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le vote blanc représente une expression du droit de vote, il doit donc être pris en compte dans son intégralité pour le calcul du suffrage exprimé. ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le vote blanc c'est l'occasion de reconnaitre une majorité silencieuse non représentée pour le moment;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"il faut reconnaitre le vote blanc dans les suffrages exprimés...
Cela fait trop longtemps que cela est demandé...
Je suis même partisan du vote obligatoire à conditionner bien sûr pour que la personne élue soit la plus légitimement représentée... si non on se retrouve avec un ou une élue représentant 1/5ème du corps électoral
Mais le vote blanc inclus dans les suffrages exprimés 100% favorable ;)";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui je pense que cela peut être une solution. cela permettrait de voir si les candidates répondent aux attentes des citoyens dans leur programme. cela permettrait aussi pourquoi pas de diminuer l'abstention et rendre le vote obligatoire tout en étant plus exigeant avec le profil des candidats;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Évidemment ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
évidemment oui;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Absolument. Chaque vote doit être pris en compte;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
oui évidemment, il faut pouvoir accepter que nous ne sommes pas d'accord avec les candidats présents et ainsi éviter les votes par dépit.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"pour mais il serait preferable que cela passe par un QCM ou l'on peut donner son avis sur tout les candidats, et que les élus soit limité à la gestion des resource, et au dialogue international, et ce en ""TOTAL"" transparence ";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
oui a prendre en compte  ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"On peut prendre en compte le vote blanc, mais surtout pas l'abstention. Trop de politiciens ou de commentateurs s'érigent en porte-parole des abstentionnistes. Quand on ne vote pas c'est qu'on a rien à dire.
";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
