body;question;categorie
"Afin de rendre l'd'impôts plus juste il faudrait que l ensemble des citoyens français contribues a hauteur de ses moyens. 
Et afin de lutter contre l'évasion fiscale, nous devrions effectuer un impôt sur la nationalité. Ainsi qu'on contrôle nationale des grands flux financier. En effet, le plus faible n aura jamais l'occasion de pourvoir s'évader, il devra donc payer pour les autres (c est ce qui se passe actuellement).";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Taxer toutes les entreprises étrangères qui font du chiffre d'affaire en France,éviter l'évasion fiscale
Taxer les entreprises qui polluent
Moins taxer les autoentrepreneurs et les TPE
Supprimer pour tous la taxe d'habitation...Sans augmenter la taxe foncière
Taxer d'avantage les gros héritages....plus de 200000 €
";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"-la taxe d'habitation en fonction des revenus (ça se fait déjà dans certaines communes qui ont besoin de cette rentrée d'argent pour entretenir le mobilier urbain, les routes, etc). je suis pour son maintien, personnellement.
-par contre, je suis pour la suppression de la taxe sur la télévision qui ne bénéficie qu'à quelques chaines et qui se rémunère déjà avec les publicités
-je suis aussi contre les subventions aux journaux comme gala, par exemple. les journaux qui n'ont pas de vocation informative ou éducative";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Il suffit d'adopter le même principe que les Etats-Unis, qui taxent l'ensemble de leurs concitoyens sur la base de leur nationalité et non pas de leur lieu de résidence effective ou du lieu considéré comme le centre de leurs intérêts économiques.

En ce qui concerne les subventions d'états versées au profit d'entreprise qui ne respectent les conditions d'octroi ou de maintien desdites subventions, ou les engagements qui sont liés à leur versement, il faudra d'une part condamnée la société à remboursé les subventions reçues, plus taxations à hauteurs des avantages fiscaux reçus majoré des pénalités de retard prévus, comme pour n'importe quel citoyen.";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"0 tolérance sur l'évasion fiscale, pas 1 euro ne doit manquer. Ceux qui trichent doivent être lourdement sanctionnés.
Taxer les GAFA et toutes les entreprises multinationales qui font du chiffre d'affaire en france, et harmoniser la fiscalité en Europe
Taxer plus fortement toutes les industries qui génèrent de la pollution
Avoir un principe de contribution en rapport avec ses moyens : une progressivité : à ce titre : il faut revoir la TVA en priorité (la rendre progressive selon la catégorie de biens et services : biens de 1ère nécessité, biens courant, bien de luxe)
Dégager toutes les niches fiscales qui permettent aux malins fortunés de payer moins d'impôts
Taxer les revenus financiers davantage
Moins taxer tout ce qui relève de l'économie réelle";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Il faudrait également réduire les taux d'impositions en ce qui concerne les ménages en instaurant un plafonnement d'imposition sur les revenus à 35 % des revenus imposables. (Impots sur le revenus + csg/crds)

Instauration d'un barème de taxation des revenus sur 4 tranches :

- 2,5 % pour tous les citoyens ayant un revenu par part fiscal inférieur à 20 000 euros net imposables
-  5   % pour un revenu compris entre 20 000 euros et 60 000 euros net
- 15 % pour un revenus compris entre 60 000 euros et 120 000 euros net
- 25 % au delà de 120 000 euros net";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Afin de rendre l'impôt plus juste il faudrait que l'ensemble des citoyens français contribuent à hauteur de ses moyens. pas d'exonération totale.
Pour lutter contre l'évasion fiscale, supprimer les niches fiscales qui permettent aux plus riches par le biais d'avocats fiscalistes d'échapper à l'impôt. 
Taxer toutes les entreprises étrangères qui font du chiffre d'affaire en France. 
Moins taxer les autoentrepreneurs et les TPE. avoir un impôt progressif
pour les subventions versées au profit d'entreprises qui ne respectent les engagements, il faudra d'une part condamner la société à rembourser les subventions reçues, que le contrat soit clair dès le départ
";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Il serait souhaitable de modifier la TVA : 
en qualifiant 3 types de bien ou services : 
- les produits de 1ère nécessité avec une TVA à 5% 
- les produits courants avec un TVA à 15% 
- les produits de luxe avec une TVA à 30%

Cette qualification pourrait s'effectuer par la nature même des biens et services et par le prix 
par exemple : 
une voiture d'occasion pourrait être un produit de 1ère nécessité 
une voiture neuve à moins de 25000 euros un produit courant 
une voiture neuve à plus de 25000 euros un produit de luxe

ce n'est qu'un exemple 
ça permettrait de rétablir un peu de justice pour cet impôt le plus injuste";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"lutter Vraiment contre fraudes,évasions fiscales
faire contribuer chaqu un en fonction de ses revenus et cesser de matraquer les classes dites moyennes et supérieures
faire cesser le dumping fiscal au niveau européen
ARRETER DE SE COUCHER LACHEMENT FACE AUX DIKTATS AMERICAINS ET ANGLO SAXON";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Que chacun paie. Même 1€. Que tout ceux qui touchent des aides participent aussi à les financer.;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
la fraude fiscal c'est 80 millard  donc un gros pactole que l'Etat se doit de récupérer   Après pour responsabiliser il faut que tout les foyers paient l'impôt  ( une somme symbolique pour certains)   ça responsabilise les gens. Obliger les grands dirigeant a être fiscalement en France ( Ghosn qui est un exilé fiscal aux Pays bas ) alors qu'il dirige une entreprise française.  ;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Arrêter de prendre la classe moyenne comme des vaches à lait  ;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
