body;question;categorie
"Taxer les entreprises qui polluent, les produits de luxe et les alcools

";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Beaucoup de français veulent plus sans proposer où trouver les financements, c'est omettre les plus de 80 millions de visiteurs qui viennent visiter notre beau pays tous les ans, demander à chaque touriste 15€ lors de leur visite ne me semble pas abusé.
La France est le pays le plus visité au monde et cela ne cessera pas dans l'avenir, à nous d'en tirer profit et d'aider l'État avec une nouvelle entrée d'argent, qui pour le coup n'impactera pas les français.";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Je reste favorable à une taxe sur les produits pétroliers qui s'applique à ceux qui en font usage mais à TOUT ceux qui en font usage : Industrie, Transport (y compris les avions et les bateaux), Chauffage ...
Les revenus de ces taxes DOIVENT être utilisés POUR les projets de transitions et faciliter les acquisitions de matériel moins gourmand en énergie.  ";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"et taxer plus les jets privés et les bateaux de luxe (et pas les petits bateaux de pêcheurs)
taxer la troisième voiture d'un couple citadin (par exemple)";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Cet argument peut s'entendre. Il est vrai que nous pourrions demander une contribution à chaque touriste étranger, néanmoins je ne vois pas pourquoi les citoyens français se retrouveraient exemptés ? 
Car tout compte fait, ce sont nous les citoyens français qui jouissons le plus de notre terre (la France) et qui devons se saisir de notre transition écologique. Il m'apparaît difficile intellectuellement de faire porter cette transition uniquement par des personnes qui ne sont pas les 1ers concernés (les français en l'occurrence) !";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Oui vous avez raison, je crains juste la révolte de certains si on leur demande de payer une nouvelle taxe, aussi minime qu'elle puisse être.
Je me dis que l'État cherche des solutions de financements, ce n'est qu'une piste, il en existe surement bien d'autres.";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Entièrement d'accord sur la 3e voiture des citadins, perso vivant en ville j'ai revendu ma voiture il y a 3 ans et je vis très bien sans.
Les villes sont bien assez accessibles en transports en commun ou tout simplement à pied ou à vélo pour éviter au maximum la voiture.
Sur le même sujet : oui aux péages à l'entrée des villes ! Quit à adapter le tarif à la situation de chacun.";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
pollueur = payeur ! et en s'entendant sur qui est pollueur ! Il ne s'agit pas de faire reposer ça sur les automobilistes  par exemple. S'attaquer aux créateurs de pollution, pas aux utilisateurs de biens qui polluent, et donc à l'industrie. C'est notre principal challenge, ça devrait être dans le top des priorités avec l'éducation et la rénovation du pacte social français;Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
L’ecologie est loin d’etre la priorité de nos élus. Preuve les jours de pollution sans pour autant que la vignette critair soit utilisée. ;Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
Entreprises et dirigeants doivent revoir leurs attitudes, leurs dépenses ;Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
C'est aux pollueurs de payer ! il faut arrêter de croire que la pollution est due au petit Français qui prend sa voiture pour aller travailler : et les avions ? les supertankers ? Les industries qui recherchent uniquement le profit au détriment de la recherche d'emballages écologiques ?  ;Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
"Par le principe du pollueur payeur! 
Surtaxer les emballages plastiques, les sur emballages inutiles! Remettre la consigne au gout du jour!
Surtaxer les pesticides et les engrais chimiques.
Péage à l'entrée de ville pour tous véhicules hors transports collectifs, covoiturage et familles avec plusieurs enfants à bord";Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
taxer les touristes  comme le font bcp de pays    taxer les importations de tankers qui traverse le monde pour livrer  Les français ne veulent plus être taxer ;Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique
