body;question;categorie
"il y a trop de redondances dans les échelons
et également pas assez de pouvoir d’un point de vu local
- meme les directeurs d’ecoles ou de crèche subissent du haut et du bas sans avoir de marge de manœuvre pour s’adapter à leur population. redonner et refaire confiance à tous ces professionnels en école PMI etc comme dans les pays nordiques 
et ne plus passer son temps à faire de l’administratif";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"Le problème ne concerne pas les niveaux et échelons des collectivités territoriales mais le millefeuille administratif des structures publics satellites : SIVOM, SIVU, Associations gérées par des collectivités...
Idem pour l'Etat qui disposent d'une multitude d'agences. ";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"Bonjour, le découpage purement technique des départements est obsolète car date de Napoléon (1 journée à cheval pour rejoindre la préfecture). Nous ne circulons plus à cheval et de toute façon l'accueil en préfecture est  dématérilisé. Je propose:
la suppression des départements,
de faire fusionner massivement les communes (diviser par 3),
de réduire le nombre (excessif) de conseillers municipaux,
de réduire le nombre de conseillers généraux (on ne les voit jamais sur le terrain)
de réduire le nombre de députés, sénateurs .
La proximité locale est en pratique inexistante (sauf inaugurations pompeuses). Il faut sérieusement dépoussiérer le mille-feuilles typiquement Français..
Le paysage français ne change pas du tout au tout quand on franchit une frontière départementale ou communale. Je suis profondément Européen d'abord, puis Français. Cela me suffit amplement. Mais certains jours j'ai honte de la France, de son immobilisme, de son côté rétrograde et de son inertie. ";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
LE MAIRE AU NIVEAU LOCAL ET LA RÉGION SA SUFFIT AMPLEMENT;Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
L’arrondissement de Lille comporte 6 intercommunalités. La MEL représente 1,1 millions d’habitants, les 5 autres environs 100 000 habitants. Cela représente des couts de fonctionnement de 6 collectivités tournées vers Lille alors qu’une seul interco peut suffire. La encore les regroupements sont à effectuer.;Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"- Rationalisation : 36 000 communes, c'est trop ! Fixer par la loi une taille minimale, par exemple 1 000 habitants (75% des communes mais 15% de la population selon l'INSEE au 01/01/2006 !), par fusions comme en Belgique, avec maintien possible d'une mairie annexe ou mairie de quartier dans les zones d'habitations que le Conseil municipal peut juger trop éloignées de la mairie principal ;
- Clarification des compétences en supprimant la clause de compétence générale entre communes, EPCI, départements et régions : supprimer les syndicats intercommunaux et répartir leurs compétences entre EPCI et départements (exemple : compétence transport collectif hors ferroviaire aux EPCI, avec possibilité de transférer aux départements dans le cas des EPCI en zone rurale, tout en restant une compétence récupérable)";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"Suppression progressive des conseils généraux et ventiler budget et compétences vers Région et Mairie...
Homogénéiser le recrutement dans les trois fonctions publiques  (le système de concours dans la fonction territoriale  est fallacieux et favorise népotisme et camaraderie) 
Réduire d'une manière générale le nombre d'élus et limiter les fonctions à 2 mandats (pour éviter les politiques à visée purement électorale)
Repenser le mille feuille administratifs (syndicats de communes, syndicats mixtes)
Regrouper les communes
S'interroger sur l'utilité des 233 membres du conseil économique, social et environnemental...
S'interroger sur le rôle des COMUE  à l'heure des fusions d'établissements...
Et surtout, indexer le salaire au temps de travail réel... Si un fonctionnaire ne vient pas travailler, il est à juste titre en arrêt injustifié avec du salaire déduit. Il faudrait reproduire avec tous les élus.
Réduire la liste des agences et opérateurs publics en doublon (cf. Le Parisen17/09/12)";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"2 échelons administratifs me paraissent inutiles
Le département: on pourrait répartir ce qu'il gère auprès des régions ou des agglomérations en fonction du degré de proximité ou de globalisation nécessaire
La commune: j'habite à Tourcoing, mais je me sens Lillois au sens métropolitains. Mes enfants allaient à l'école à Bondues, je vais travailler à V Ascq ou Roubaix, l'école de danse était à Marcq. Une MEL et une ville de Lille qui ne seraient pas adversaires politiquement seraient plus cohérentes dans leurs actions (par ex attirer les entreprises anglaises suite au Brexit). Donc je propose de supprimer les communes pour gérer l'ensemble au niveau intercommunal en ville ou en campagne. C'est ainsi en Belgique ou en Espagne, et je crois quasiment partout en UE...";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
"Pour les collectivités locales, il faut séparer plus nettement la mission de ""représentation"" de celle de ""gestion"". Nous devrions pouvoir tous compter sur un élu local pour 200 ménages (400 personnes), ce qui permettrait à cet élu de bien connaître son territoire. Et la gestion des collectivités devrait être regroupée sur la base des arrondissements, puis des Métropoles ou Départements (à redécouper/fusionner), puis des Régions.";Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
Réduire le nombre de communes et/ou de départements peut être une bonne idée mais les coûts engendrés par la mise en place sont parfois hallucinants (cf les coûts induits par la réforme des régions). Les gens sont en général très attachés à leur commune ou est-ce uniquement une question d'âge?)Pousser à la mutualisation ou au transfert de tout ce qui peut l'être (commandes, cuisines centrales, travaux publics,...) peut déjà être un vecteur d'économies. Et que chaque collectivité se cantonne à son strict domaine de compétence sans aller loucher sur celles du voisin ce qui entraîne recrutements de chargés de missions, études,...;Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’Etat et des collectivités publiques
