title/fr;description/fr;comments;url
Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;<p><strong>Impôts, dépenses, action publique</strong></p>;34;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/13
 Quels impôts faut-il à vos yeux baisser en priorité ?;<p> <strong>Impôts, dépenses, action publique</strong></p>;63;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/14
Quelles sont les économies qui vous semblent prioritaires à faire ?;<p><strong>Impôts, dépenses, action publique</strong></p>;55;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
Faut-il supprimer certains services publics qui seraient dépassés ou trop chers par rapport à leur utilité ? ;<p><strong>Impôts, dépenses, action publique</strong></p>;28;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/16
Voyez-vous des besoins nouveaux de services publics et comment les financer ?;<p><strong>Impôts, dépenses, action publique</strong></p>;16;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/17
Comment mieux organiser notre pacte social ? Quels objectifs définir en priorité ?;<p><strong>Impôts, dépenses, action publique</strong></p>;14;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/18
Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;10;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/19
Faut-il renforcer la décentralisation et donner plus de pouvoir de décision et d’action au plus près des citoyens ? À quels niveaux et pour quels services ?;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;4;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/20
Comment voudriez-vous que l’État soit organisé et comment peut-il améliorer son action ? ;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;6;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/21
Faut-il revoir le fonctionnement de l’administration et comment ?;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;5;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/22
Comment l’État et les collectivités locales peuvent-ils s’améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté et que proposez-vous ?;<p><strong>Organisation de l’Etat et des collectivités publiques</strong></p>;5;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/23
Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;"<p><strong>Transition écologique&nbsp;</strong></p>";40;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/24
 Comment rend-on les solutions concrètes accessibles à tous, par exemple pour remplacer sa vieille chaudière ou sa vieille voiture ? Quelles sont les solutions les plus simples et les plus supportables sur un plan financier ?;"<p><strong>Transition écologique&nbsp;</strong></p>";13;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/25
Quelles sont les solutions pour se déplacer, se loger, se chauffer, se nourrir qui doivent être conçues plutôt au niveau local que national ? ;"<p><strong>Transition écologique&nbsp;</strong></p>";21;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/26
Quelles propositions concrètes feriez-vous pour accélérer notre transition environnementale ?;"<p><strong>Transition écologique&nbsp;</strong></p>";28;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/27
Comment devons-nous garantir scientifiquement les choix que nous devons faire pour la transition écologique ? ;"<p><strong>Transition écologique&nbsp;</strong></p>";15;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/28
Comment faire partager ces choix à l’échelon européen et international pour que nos agriculteurs et nos industriels ne soient pas pénalisés par rapport à leurs concurrents étrangers ?;"<p><strong>Transition écologique&nbsp;</strong></p>";29;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/29
Faut-il reconnaître le vote blanc ? ;<p><strong>Démocratie et citoyenneté</strong></p>;75;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/30
Faut-il rendre le vote obligatoire ?;<p><strong>Démocratie et citoyenneté</strong></p>;31;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/31
Quelle est la bonne dose de proportionnelle aux élections législatives pour une représentation plus juste de tous les projets politiques ?;<p><strong>Démocratie et citoyenneté</strong></p>;21;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/32
Faut-il, et dans quelles proportions, limiter le nombre de parlementaires ou autres catégories d’élus ?;<p><strong>Démocratie et citoyenneté</strong></p>;15;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/33
Quel rôle nos assemblées, dont le Sénat et le Conseil Économique, Social et Environnemental, doivent-elles jouer pour représenter nos territoires et la société civile ? Faut-il les transformer et comment ?;<p><strong>Démocratie et citoyenneté</strong></p>;8;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/34
Quelles évolutions souhaitez-vous pour rendre la participation citoyenne plus active, la démocratie plus participative ?;<p><strong>Démocratie et citoyenneté</strong></p>;22;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/35
Faut-il associer davantage et directement des citoyens non élus, par exemple tirés au sort, à la décision publique ?;<p><strong>Démocratie et citoyenneté</strong></p>;48;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/36
Faut-il accroître le recours aux référendums et qui doit en avoir l’initiative ?;<p><strong>Démocratie et citoyenneté</strong></p>;29;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/37
Que proposez-vous pour améliorer l’intégration dans notre Nation ? ;<p><strong>Démocratie et citoyenneté</strong></p>;24;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/38
En matière d’immigration, une fois nos obligations d’asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?  Que proposez-vous afin de répondre à ce défi qui va durer ?;<p><strong>Démocratie et citoyenneté</strong></p>;12;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/39
Comment renforcer les principes de la laïcité française, dans le rapport entre l’État et les religions de notre pays ? ;<p><strong>Démocratie et citoyenneté</strong></p>;14;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/40
Comment garantir le respect par tous de la compréhension réciproque et des valeurs intangibles de la République ?;<p><strong>Démocratie et citoyenneté</strong></p>;8;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/41
