category,Contributions
Autre sujet,"Accès au #numérique Toutes les mairies, quelque soit la taille de la ville ou du village devrait donner l'accès à un ou plusieurs ordinateurs pour les administrés exclusivement. Idéalement l'accompagnement serait possible.
Les administrés devraient pouvoir accéder à différentes plateformes publiques pour leurs démarches administratives. 
Aujourd'hui certains centres sociaux, certaines médiathèques le permettent mais avec des contraintes d'horaires et d'inscriptions. L'hôtel de ville est l'endroit idéal pour donner un accès au numérique à tous les publics."
"Impôts, dépenses, action publique","Rendre notre fiscalité plus juste et plus efficace 3 pistes sont à envisager parallèlement :
-Baisser la TVA sur les biens de consommation destinés aux moins fortunés et l’augmenter sur ceux destinés aux plus fortunés (ex : pourquoi une TVA équivalente sur une petite voiture française et sur une grosse berline allemande ?)
-Forcer les entreprises multinationales à payer leurs impôts en France en fonction des activités qu’elles réalisent sur notre territoire. Il faut donc mener une véritable lutte contre les paradis fiscaux disséminés dans le monde et en Europe. L’évasion fiscale annuelle française est en effet estimée entre 80 milliards et 120 milliards d’€. Ces impôts non payés, ce sont les petites et moyennes entreprises et les salariés qui les paient en réalité. Très cher.
-Rétablir l’ISF : l’argent qu’économisent ceux qui ne le paient plus depuis sa suppression ne s’investit pas dans les entreprises. 98 % de ce qui transite par les bourses concernent les marchés secondaires, c’est-à-dire la spéculation. "
Transition écologique,Autosuffisance alimentaire et énergétique des communes Mettre en place l'autosuffisance énergétique et alimentaire des communes. Créer des filières de formation dans ce domaine. Instaurer un service citoyen obligatoire pour que celui-ci participe à la création et la longévité de cette mise en place.
"Impôts, dépenses, action publique",Rétablissement de l'ISF Rétablissement de l'ISF
"Impôts, dépenses, action publique","Extension des taxes sur les camions français aux PL & utilitaires étrangers Chaque jour des milliers de camions & utilitaires sillonnent les routes françaises. Bien souvent les camions viennent d’Europe de l'est, de la péninsule ibérique ou encore de Turquie et du Maroc. Comme l'union européenne interdit de mettre une taxe ""transit"" sur les usagers étrangers, je propose que l'on étende les taxes à l’essieu & divers taxes existantes, sous forme de vignette, aux PL et utilitaires étrangers. Cela permettra de faire payer aux  PL et utilitaire étrangers leurs dues suite aux dégradations des axes entretenus par l’état et les collectivités locales. Pas de hausses des taxes existantes pour les PL français."
,"Pouvoir d'achat des retraités Ajuster l'augmentation de la csg des retraités de façon progressive a partir de 2000 euros
Indexer les pensions de retraites sur l'inflation
Defiscaliser les primes mutuelles des retraités a hauteur de 50 % comme dans le privé"
Organisation de l’Etat et des collectivités publiques,"Revoir l'organisation administrative du Pays Les strates de la république sont beaucoup trop nombreuses (communes, départements, régions, EPCI, communautés urbaines, assemblée nationale, sénat, gouvernement). A chaque institution des Présidents, Vice-présidents, Maires, Adjoints, Conseillers, Député, Sénateur. Il faut d'une part pouvoir représenter le territoire et trouver la façon la mieux adaptée pour répondre aux besoins de terrain des habitants, et d'autre part, créer des instances nationales qui puissent dynamiser le pays et impulser le changement. A chaque strate des élus à payer, des cumuls d'emplois et des frais de représentation dans d'autres instances. L'argent public doit servir les intérêts généraux et non les intérêts privés. Quand on veut toucher aux départements, c'est le tollé général, mais ces compétences peuvent être transférées et gérées par les communes, qui sont déjà le relais dans la constitution es dossiers. 
les "
Autre sujet,Allocations chômage Plafonner les allocations à 4500 € par mois maximum
,Coût de fonctionnement des institutions françaises Audit des coûts de fonctionnement de nos institutions.
"Impôts, dépenses, action publique","Lutte contre le chômage : Revenu Universel Pour lutter contre le chômage, je propose le fameux ""Revenu Universel""...  déjà évoqué à la dernière présidentielle mais à ré-étudier peut-être...
Puisqu'à moyen terme on ira vers une Europe Fédérée (il faudrait que les nations conservent une certaine souveraineté pour certains secteurs) On sortirait ainsi des fameux 3% qui n'existeraient plus...
Economiquement, l'Europe pourrait racheter la dette de tous les Etats et la mutualiser ainsi les Nations repartiraient de zéro (même Mr Attali est pour (sauf erreur de ma part) 
De ce fait, je suis partisan d'un REVENU UNIVERSEL EUROPEEN (pour qu'il n'y ait pas de disparité entre les nations membres de l'Union Européenne) ; des économistes de renom ont déjà évoqué ce sujet 
Sachant de toute manière qu'il y aura de moins en moins d'emplois… par rapport à la population active… il faudra trouver une solution… Si non les mouvements tels celui des gilets jaunes se multiplieront à l'avenir… ..."
Transition écologique,"Carburant des avions Le kérosène, le carburant des avions, n'est pas taxé. Non seulement, il n'a pas été question de lui imposer une taxe carbone mais son prix ne supporte pas non plus les taxes ""ordinaires"" auxquelles sont soumis les carburants de tout un chacun pour des trajets souvent contraints. Il y a là une sorte d'injustice. On en parle très peu ! Pourquoi ? Ne serait il pas opportun de commencer à taxer ces carburants ? D'une part ça ferait entrer un peu d'argent dans les caisses de l'état (à moins de dédier les sommes ainsi recueillies à la transition écologique) et d'autre part, ça permettrait peut être de freiner le développement des transports aériens, développement qui ne va certainement pas dans le sens d'une limitation des émissions de gaz à effet de serre."
Transition écologique,"Taxe des produits sucrés, salés, gras, conservateurs, fast food & autre mal bouffe De plus en plus les multinationales inondent le marchés avec des produits alimentaires malsains pour la planète et la santé. Une taxe est à appliquer sur tous les produits gras, salés, sucrés, avec conservateur et autre préparation industrielles. Idem pour les grandes chaines de Fastfood qui vendent des quantités gargantuesques. Cette taxe doit avoir 3 à 4 objectifs à la fois. Limiter l’inondation du marché par de la mal bouffe, limiter l’optimisation et l’évasion fiscale des gros groupes agroalimentaires (PepsiCo, Nestlé, CocaCola, Mondelez, McDonald’s, Quick, KFC, Ferrero …) ,  forcer la main au consommateur à limiter sa consommation de produits nocif et se diriger sur plus de fruit, légume, céréale … 30 ou 40 € de fruits & légumes est plus sain que 30 ou 40 € de snack, malheureusement encore trop de ménagères des classes populaires pensent faire de affaire avec ces derniers . C’est faux ! Doivent être exempts les commerces de bouches (artisans & commerçants) de proximité"
"Impôts, dépenses, action publique","Imposition pour tout le monde  Tout comme en Belgique, imposition dès le 1er euro.
En effet, même en payant 1 euro par mois d'impôts, ça serait déjà une rentrée....la TVA (sur la nourriture, les service etc...) tout le monde la paie ben la même chose pour les impôts...égalité pour toutes les classes"
Autre sujet,"Education des métiers manuels Remettre (ou mettre ) des le plus jeune age des cours manuels :
cuisine,menuiserie,couture,bricolage ,etc....pour les 2 sexes
celà permet de revaloriser les métiers et est bon pour l'écologie : 
si on sait réparer,recoudre,cuisiner....on jette moins,on recycle plus !!!
et  l'on consomme moins de plats préparés et plus de plats cuisinés"
"Impôts, dépenses, action publique","Fiscalité et pouvoir d'achat Aujourd'hui il est nécessaire de redonner du pouvoir d'achat à tous les Français. Une possibilité est de réduire les taxes et les impôts, par la suppression de la redevance télévision ce qui ferra une économie de 138€. cet impôt historique n'a plus de sens alors que de moins en moins de monde regarde l'audiovisuel public. Réduisons les couts pharaoniques dont le comité d'entreprise en est la plus emblématique représentation comme le dénonce la cour des comptes (lire l'article https://www.lejdd.fr/Medias/un-rapport-de-la-cour-des-comptes-epingle-le-ce-de-laudiovisuel-public-3756293 ).
Une fois revenu à l'essentiel et donc un budget plus réduit, remplaçons le financement actuel dans le budget de l’état par l'affectation des recette de TVA provenant des achats de matériel audiovisuel, bureautique...     Aujourd'hui la redevance rapporte 3,2 Milliards € à rapprocher des 139,3 milliards d’euros que rapporte la TVA, soit la moitié du total des recettes fiscales."
Organisation de l’Etat et des collectivités publiques,"Établir des vitesses de circulations adaptées localement et on définies nationalement  Les routes francaises sont très variées et ne peuvent être uniformisées. Une route sinueuse en montagne et peut pas être empruntée en sécurité a 80km/h mais u e route droite sur plusieurs dizaines de km, avec une excellente visibilité peut être empruntée bien plus rapidement. 
Laisser les élus locaux (préfet, maire ?!) Définir les vitesses de circulation. "
,TAXES sur les produits de consommation Fixer la TVA sur les produits de 1ère nécessité (produits pour la survie)  à 1% maximum  voir  0 % afin de redonner du pouvoir d'achat au plus démunis
,"Plus de pouvoir d'achat aux retraités 

Donner du pouvoir d’achat aux retraités en indexant l’augmentation sur le coût de la vie référence INSEE et non pas 0.30% alors que le coût de la vie augmente de 1.70%. 




"
Autre sujet,"Légalisation de l'euthanasie et du suicide assisté  Je propose la légalisation de l'euthanasie et du suicide assisté, ainsi que l'accès universel aux soins palliatifs.
Les sondages, concordants, montrent que les Français sont favorables à la législation de l'euthanasie. Une liberté supplémentaire enrichit une société sans rien enlever à qui que ce soit."
Démocratie et citoyenneté,"Les Français sont contre à ... Nous avons tous déjà vu des titres de résultat de sondage d'opinion faisant l'état de la pensée nationale. Mais avez vous participer à ce sondage? Savez vous comment il a été mené? La synthèse n'était-elle pas parfois trop binaire?
Ma proposition est donc la mise en place d'une plateforme de Consultation Nationale. Chaque citoyen sera libre d'exprimer ou non son opinion sur une question législative. 
L'initiative de la question sera aux citoyens ou élus. L'idée est d'offrir un contre pouvoir à la composition des chambres.
Afin que cet outil ne dérive pas, le Sénat devra jouer le rôle de garde fou (Veto possible). Ainsi cette chambre aura un rôle dans le débat public.
Il est important que la consultation ne soit pas binaire. Par exemple : Etes vous pour l'Europe? Oui ou Non. Le choix des réponses n'est pas suffisant, je peux être peut-être pour l'Europe mais en désaccord avec sa mise en oeuvre. Quelle case dois je cocher? 
J'estime cette proposition comme une alternative au RIC."
"Impôts, dépenses, action publique","Education Nationale : pour des moyens à la hauteur d'une Ecole du XXIsiècle pour nos enfants! Pour que l'éducation soit une chance pour tous les élèves de tous les territoires :

*Limiter les effectifs de toutes les classes en maternelles à 15 élèves par classe;
*Limiter les effectifs des  toutes les classes en élémentaire à 20 élèves par classe;
*Limiter les effectifs des  toutes les classes au collège/lycée à 25 élèves;
* Tous les enseignants (es) doivent être formés en  formation initiale et continue: ne pas mettre de contractuels ou de vacataires en situation d'enseignement devant des élèves. 
* Stabilité des Equipes Educatives : éviter les turn over des enseignants dans les écoles dites les plus difficiles.
* INTEGRER l'apport des Neurosciences  dans  les méthodes d'apprentissage à tous les niveaux scolaires.
*Renforcer la médecine scolaire (prévention....)"
Transition écologique,Transport urbain Gratuité des transports publics  dans les grandes villes  et plus de transport pour limiter les utilisations de la voiture et lutter contre la pollution ; par exemple sur le territoire de la MEL dans le nord 
,"Suppression des contrats aidés Remettre en place les contrats aidés sous une autre forme, car ils m'ont permis de travailler pendant les 10 ans qui ont suivi mon licenciement après la fermeture de la société où j'ai travaillé 30 ans. 
Mr MACRON va aider la ""grande pauvreté"" grâce notamment à la suppression des contrats aidés qui ""coûtaient trop cher à l'état"". ""Grâce à cela"",  j'ai perdu mon contrat le 1er septembre 2018 à un an de la retraite, (on aurait pu me renouveler).
Il a dit que ceux qui défendaient les Contrats Aidés n'en voudraient pas pour eux-mêmes et bien moi je défends ce contrat qui m'a permis de rester dans la vie active et de ne pas être inscrite au POLE EMPLOI , comme je le suis actuellement pour ma dernière année de vie professionnelle, même s'il n'était pas parfait.

"
,Logement prix des loyers Encadrer le prix des loyers des logements ; les augmentations du prix des loyers ne sont plus tenables ; récompenser les propriétaires qui diminuent fortement leurs loyers (baisse au niveau des impositions pour les propriétaires) ceci permettrait de  redonner du pouvoir d'achat aux citoyens notamment pour ceux qui ne bénéficient pas de l'APL mais qui sont juste au dessus des plafonds et qui ont cependant des salaires faibles  pour qui le loyer peut représenter la moitié du salaire
Transition écologique,"Fermeture des décharges et reventes des matières pour recyclage En France subsiste plusieurs milliers de sites d'enfouissements et décharges. Ce type de lieu doit disparaitre. L'état doit revendre les matières premières de ces sites à son profit (5 à 8 milliards d'€ de matières à recycler).
"
,"Agriculture éEévage Le  lancement d’un « lundi vert » (sans viande ni poisson) soutenu par collectif de citoyens: nous devons repenser nos modes d’alimentation et de consommation afin qu’ils deviennent soutenables et équitables pour tous les habitants de notre planète, les humains comme les animaux.
Rendre à l’animal sa
dignité
Jamais nos sociétés n’ont mis à mort autant
d’animaux qu’aujourd’hui : en France, plus de 3 millions d’animaux sont
abattus par jour, dans des conditions souvent déplorables. Jamais elles n’ont
autant imposé aux corps des animaux un tel rendement économique.
Paradoxalement, jamais elles n’ont autant appauvri la diversité du vivant.

Nécessité de transformer le
rapport humain/animal en une coopération respectueuse de chacun et non une
exploitation.

Cette mutation est incontournable si nous voulons continuer à nourrir l’humanité et permettre à la faune et à la flore sauvages de survivre. Ce n’est pas par la violence (verbale ou physique) que nous y parviendrons.

"
Transition écologique,"Ligne de tram d' Orchie à Pont de Bois  Bonjour je vous écrit  dans ma région du  Pévèle au sud de Lille les embouteillages sont tous les jours de plus en plus importants. Il était question de créer une ligne de tram allant de Orchie à pont de bois quant est il ? merci
"
Démocratie et citoyenneté,"Le vote obligatoire Le vote est un droit mais doit devenir un devoir. Les gens votent et après ils manifestent. Savent-ils lire une profession de foi ? Les prétendants aux élections doivent être plus factuels et décrire exactement ce qu'ils comptent mettre en place, comment et à quel coût. Il serait souhaitable de comptabiliser les votes ""blanc"". les dernières élections on montré que l'on a voté contre Le Pen et pas forcément pour le Président actuel. Il faut pénaliser les inscrits sur les listes qui ne vont pas voter. Ceux qui ne veulent pas participer à la vie du pays devraient voir leur droit au bénéfice des aides supprimés."
Démocratie et citoyenneté,"Changer le système électoral pour la méthode du jugement majoritaire Le suffrage exprimé dans un scrutin uninominal à deux tours est assez pauvre car le citoyen ne peut exprimer que sa préférence pour un candidat mais sans pouvoir exprimer son opinion sur les autres candidats.
La méthode du jugement majoritaire permettrait d’évaluer chaque candidat en leur attribuant une mention. La mention majoritaire de chaque candidat serait sa mention médiane, c’est à dire que 50% des électeurs lui auront attribué cette mention ou une mention supérieure. Le vainqueur de l'élection serait le candidat dont la mention majoritaire est la meilleure.
Ce mode de scrutin éviterait de donner l’impression aux citoyens que les personnes élues ne représentent qu’une fraction minoritaire de la population. (leurs électeurs du premier tour)
Il éviterait également les phénomènes de vote stratégique et de vote utile. Les citoyens seraient incités à ne voter que selon leur opinion et cette opinion serait plus clairement exprimée."
"Impôts, dépenses, action publique","Produire en France lorsqu’une entreprise publique ou une administration passe une commande « officielle »  Ces derniers temps de nombreux exemples plus qu’aberrants ont montré que l’état faisait imprimer des codes du travail en Italie, ou bien la Française des Jeux faisait imprimer ces jeux à gratter au Canada. On doit privilégier autant que possible en France pour des questions de couts, d’emplois, de sécurité & souveraineté nationale. "
"Impôts, dépenses, action publique","Taxe sur la publicité La publicité est de plus en plus présente sur tous les types de canaux et supports (presse, affichage, radio, TV, internet ...). Cette publicité massive de la part des grandes marques est d’une part une pollution visuelle et environnementale. Elle doit être taxée à hauteur de 30% à 40 % de ce qu’elle rapporte. La publicité est de plus en plus agressive pour le consommateur et l’environnement, on ne doit plus inciter au consumérisme de masse. Pour cela on doit exempter les commerces de proximités (artisans, commerçants, restaurant …) de ce type de taxe. "
"Impôts, dépenses, action publique","CFE double peine pour indépendants et propriétaires? Etant propriétaire de mon habitation principale, je paye l'impôt foncier, comme tous les autres propriétaires. Mais étant également travailleur indépendant, et exerçant mon activité depuis mon domicile, je paye également la CFE (contribution foncière des entreprises) ce qui est une absurdité puisque je n'ai pas de local spécifique pour mon travail, car c'est mon habitation principale. Dans un projet de justice fiscale, ne serait-il pas possible d'éxonérer de CFE les travailleurs indépendants qui exercent leur activité depuis chez eux? Sinon , ça donne vraiment l'impression de payer deux fois l'impôt foncier. Merci d'avance"
"Impôts, dépenses, action publique","Allocations-Aides Les allocations chômage devraient être limitées à un plafond identique pour tous que l'on soit directeur ou ouvrier au chômage. Il faut demander aux chômeurs de prouver qu'ils ont bien effectué des recherches d'emploi. Si vous avez travaillé, vous connaissez un métier et vous pouvez rendre des services à la collectivité qui verrait diminuer ses charges courantes. Des aides, oui, mais pas sans contrepartie. 1 journée de travail par semaine ne semble pas aberrant."
Transition écologique,"Pouvoir d'achat...que le prix du gaz redevienne abordable Chacun peut se souvenir du prix des factures de gaz qu'il payait il y a 10 ans et de celui qu'il paye aujourd'hui. Le prix du gaz ne cesse de monter et notre pouvoir d'achat diminuer. Pourtant, cette matière première est abondante et peu cher mais aujourd'hui son prix, cela est le cas depuis les années 70, est indexé sur le prix du pétrole qui lui ne cesse de monter...De plus, cette énergie est plus écologique que le pétrole.
il faut découpler les deux prix pour que celui du gaz reste à un niveau qui ne soit pas artificiellement élevé comme actuellement. 
Pour autant, l’état devra jouer son rôle et réguler/contrôler les opérateurs pour qu'il n'y ait pas d'abus"
Organisation de l’Etat et des collectivités publiques,"Diminuer le nombre d'élus En France on compte 500 000 élus pour 650 000 mandats tous échelons confondus. Cela représente la bagatelle de 2 milliards d'euros de masses salariale. Cette masse doit être réduite de 30 à 50 % , ainsi que le nombre d'élus.
"
,"Surconsommation électrique et pollution lumineuse Chaque année les entreprises et collectivités usent de 44 Tera Watt h d’électricité juste pour de l’éclairage : http://www.afe-eclairage.fr/afe/l-eclairage-en-chiffres-26.html . Cela représente un surcout de 2 à 4 milliards d’€ par an. Encore trop de commerces et surfaces commerciales usent encore de leur éclairage de nuit sans justification. Ces pratiques doivent être sanctionnées ou taxées. Pour diminuer toujours cette surconsommation électrique, c’est réduire voire supprimer les illuminations en période de noël par les collectivités."
"Impôts, dépenses, action publique","Taxe données personnelles, big data, numérique & grandes entreprises Depuis le début des années 2010 les grandes entreprises font de la collecte de données personnelles avec ou sans le consentement des concitoyens. Ces mêmes entreprises amassent des quantités d’informations par millions voir milliards pour les revendre et en tirer profit. Afin d’éviter les dérives de Facebook, Amazon ou encore Apple, un standard de valeurs d’un profil de consommateur est à appliquer. On multiple ce standard de valeurs par millions ou milliards d’informations collectées, au final on ramasse la taxe proportionnellement a ce qui est collecté. "
"Impôts, dépenses, action publique","Lutter contre le chômage Il faut envisager un travail de fond auprès des instances européennes pour modifier les articles 2 et 4 du Traité instituant la Communauté Européenne, qui promeuve une politique non inflationniste. En 1958, l'économiste néo-zélandais A.W. Phillips a mis en évidence une relation décroissante entre taux de chômage et inflation : plus il y a de chômage, moins il y a d’inflation. Et inversement. Pourquoi ? Au-delà d'un certain niveau de chômage, les salariés ne sont plus en position de force pour exiger une hausse de salaire. Le partage des gains de productivité s'effectue alors en faveur de l'entreprise. A contrario, l'augmentation des salaires est source d'inflation. L’intérêt des entreprises est que l’on maintienne un haut niveau de chômage pour obtenir un meilleur gain de productivité et maintenir un bas niveau d'inflation qui profite à ceux qui ont beaucoup d'argent et non à ceux qui sont contraints d’emprunter pour consommer."
,"Retraités revalorisation Pour les retraités :
 1 /rétablissement de la revalorisation des pensions versées aux retraités tous les ans en fonction des prévisions de l’inflation 
2 /suppression du surplus de la csg (1.7) pour tous les retraités 
3/ création d un crédit d impôt sur les cotisations mutuelles versées par les retraités 
"
Organisation de l’Etat et des collectivités publiques,"De la transcendance à l’immanence Je propose une réorganisation complète de nos institutions, c’est-à-dire passer de l’actuelle organisation transcendante (le pouvoir vient d’en haut, certes pas du ciel, mais bien de Paris, qui via le président de la République, le Premier ministre, le Gouvernement, l’Assemblée Nationale, le Sénat…, décide de tout pour le pays) à une organisation immanente (le pouvoir viendrait des citoyens, qui décideraient en assemblées locales, et qui éliraient avec un mandat impératif des représentants à des niveaux plus larges, départements, régions et État. Le chef de l’État, également élu avec un mandat impératif, serait simplement le garant du bon fonctionnement de cette organisation). Cela suppose de réécrire (ensemble) la Constitution."
Organisation de l’Etat et des collectivités publiques,"Fin des privileges des élus a vie  Pour éviter que la politique ne deviennent un métier à temps plein et que des individus en vivent, il est nécessaire de brider ce milieu. Maximum 2 mandats consécutif tout type de mandats confondus. Plafonner le salaire des élus à 1800 € net mensuel (soit 2100 € brut). Abolir les indemnités à vie & limitées celles ci à la seule durée du mandat. Mettre un terme à tous les avantages financiers tel que les enveloppes parlementaire et autre indemnités de mandats. Interdire l'attribution de budgets et avantages issus d'argent publique a des proches d'élus (première dame, conjoint du maire, attaché parlementaire ...)   
"
"Impôts, dépenses, action publique","Faire des économies ? Il n’y a pas d’économies à faire (elles nous priveraient encore de services publics), il suffit de prendre légitimement l’argent là où il est, c’est-à-dire chez ceux qui obtiennent et font fructifier leur fortune grâce au travail des salariés et qui refusent de participer au pacte social (évasion fiscale des multinationales notamment). C’est à cause de ces gens-là que les classes moyennes paient trop d’impôt. Et c’est également en ne participant pas à l’impôt que leurs fortunes augmentent et que les inégalités se creusent."
Autre sujet,"Révision des barèmes sociaux Bonjour à tous,
La révision  du barème social permettrait de redonner du pouvoir d'achat à la classe qui se trouve entre deux paliers.  Pour ceux qui ne travaillent pas ils ont tous et ceux qui travaillent au SMIC ou un peu au dessus n'ont rien. Réviser le barème pourrait aider les familles à payer moins d'impôts, à bénéficier des APL, aides pour les vacances, la cantine des enfants et j'en passe. Et tout ça sans toucher les ménages aisés
Merci "
Autre sujet,"Obliger les entreprises a embaucher et former les personne handicapés  et sans diplôme  Je vous signal  que rien ai fait pour  les chromeurs handicapés 
Obligé les entreprises a embauché et arrêter d aller chercher des étranger
il faut que les enterprises a  a faire des forum ou salon de l emploi dans d autres département j entends les patrons par exemple de paris bordeaux dire qui ne trouve pas mais si ils comptent sur pole emploi il se trompent moi cela fait onze ans que je cherche du travail "
Autre sujet,"Notre système économique est-il bien adapté ? Organisation un sommet international où la question serait :
Le modèle économique dominant est-il toujours adapté aux nouveaux enjeux ? Cette question pourrait se décliner en plusieurs thématiques.
Notre système économique  :
_assure-t-il encore le partage équitable des richesses matériels et immatériels entre les individus?
_n'entrave-t-il pas la liberté et la souveraineté des peuples ?
_permet-il le développement positif des nations ?
_est-il cohérent à la survie de notre espèce et plus largement à son environnement ?"
"Impôts, dépenses, action publique","Résidences EHPAD Coût supporté par le résident en fonction de ses moyens financiers :salaires, retraites, patrimoine mobilier et immobilier"
Autre sujet,"Les prix à la consommation Autrefois, la baguette était vendue 0.50 centimes de Franc. Aujourd'hui elle est vendue 1, 50 €, soit près de 9.84 Francs. Le prix du blé a-t-il subi une augmentation de 10 fois son prix ? Les agriculteurs devraient être très riches. Mon salaire n'a pas non plus été multiplié par 10. Je ne parle pas des fruits et légumes, ni de la viande et encore moins du poisson. Le passage à l'euro n'a pas été contrôlé et les dérives constatées aujourd'hui sur le pouvoir d'achat viennent de là. Les grossistes et intermédiaires se servent trop largement au passage. Il faut donc instaurer des filières courtes. Cela amènera moins de pollution, des prix plus justes et des producteurs mieux rémunérés. Mais les gens devraient aussi admettre qu'on ne mange pas de tomates à Noël ni de choux en avril. Le bon sens doit être retrouvé par tous les consommateurs."
,Egalité d'accès aux études Augmenter les plafonds pour l'attribution des bourses et des aides au niveau scolaire afin de permettre à tous d'accéder de manière égale à toutes les écoles à toutes les formations ; lutte contre l'école des riches et des pauvres; aujourd'hui certaines écoles compte tenu des tarifs d'inscription imposés sont inaccessibles aux familles aux revenus modestes ; au 21ème siècle c'est inacceptable ! cela ne devrait plus exister
Transition écologique,Lutte contre la polution Intervenir auprès des entreprises pour qu'elles diminuent voir suppriment les emballages de leurs produits ;  moins d'emballage diminue le coût des produits et donc le prix :  permet de lutter contre la pollution et de redonner du pouvoir d'achat 
"Impôts, dépenses, action publique","CICE : Dépense publique de 40 Milliards d'Euros sur 2 ans. Ce sont les sociétés du CAC40 qui en profitent le plus, avec des licenciements. Cibler le CICE pour les TPE/PME, avec une modulation pour tenir compte des emplois crées."
Transition écologique,"Consigne d’emballage et compostage Pour réduire drastiquement les déchets, plusieurs idées simples. Généraliser la consigne des emballages (bouteille, tétrabrick …) et généraliser des systèmes de compostage des déchets vert dans les quartiers & ou communes (à grande échelle en somme). 
"
"Impôts, dépenses, action publique","Relance du ferroviaire & fluvial En mettant camions et containers sur des péniches ou le rail, voire dans certains cas en relançant l’auto-train, les redevances de circulation sur le domaine fluvial & ferroviaire, ainsi qu’une partie des recettes de la « billetterie » des voyages doivent servir pour entretenir et améliorer ce réseau. Des exemples concrets de travaux à mener > doublement des lignes Béthune <> Lille, Orchies <> Villeneuve d’Ascq , réutilisation des voies existantes pour le TGV Bordeaux <> Toulouse <> Montpellier en lieu et place d’une LGV neuve. Le but final est d’avoir des recettes sans pour autant tomber dans les taxes à outrance. "
,"Lutte contre la pauvreté Interdiction pour les services administratifs (caf par exemple) de supprimer les aides sans délais raisonnable (2 mois), sans prévenir suffisamment à l'avance  afin de laisser à chacun la possibilité de se défendre et de fournir les pièces nécessaires  avant de créer une réelle précarité de ces personnes déjà fragilisées; "
"Impôts, dépenses, action publique","Aide aux migrants Il faut diminuer les aides aux migrants. Pourquoi tous ces migrants viennent-ils en France et ne vont pas en Russie ou en Chine ? Dans ma ville, on a réquisitionné des hôtels pour y loger 3 ou 4 migrants par chambre. Deux mois après, une visite des élus a permis de constater qu'ils étaient plus de 8 à 10 chambres. Tous les mardi et vendredi, je les vois passer devant chez moi pour aller au restaurant du cœur et revenir avec des sacs de denrées dont certains sont jetés derrière des haies car les produits donnés ne leur conviennent pas. C'est écoeurant  et ce ne sont pas les français qui profitent des dons de leurs concitoyens.
Si vous voulez vivre en France, alors rendez un minimum de service à la collectivité qui vous accueille en contrepartie des aides que vous recevez. "
Démocratie et citoyenneté,"Réferendum d'initiative populaire Pour un véritable référendum d'initiative populaire et non pas la mascarade du référendum partagé ou en plus de millions de gens il faut 180 députés pour lancer la procédure! 
Le RIP devrait pouvoir être étudié à partir d'un certains seuil de signatures, quelques centaine de milliers par exemple et sans sujet tabous, ce n'est pas à Monsieur Griveaux de décider pour les français des sujets qui peuvent êtres abordés et ceux qui ne le peuvent pas!
Le pouvoir a peur du peuple.
Démocratie: le kratos appartient au demos, au peuple! Chez nous la démocratie a été confisqué par les représentants du peuple qui ne représentent plus qu'eux même ou les intérêts des puissants.


"
Transition écologique,"Stationnement de voirie, parking, végétalisation du stationnement et perméabilité des sols Au lieu de créer une pénurie de place de stationnement, d’avoir une pression automobile avec  stationnement anarchique,  de respecter la perméabilité des sols. Il convient, dans la mesure du possible de remplacer le macadam existant par des dalles de bétons creuses afin de remettre de la terre et permettre l’écoulement de l’eau dans les sols. Une place parking standard fait 2,5m x 5m soit 12,5 m² . Le même raisonnement est à appliquer à des cheminements piétonniers. Ce processus permet de regagner des m² de verdure en espace fortement bétonné. 
"
