category,Contributions
Aucune,"Pouvoir d'achat des retraités Ajuster l'augmentation de la csg des retraités de façon progressive a partir de 2000 euros
Indexer les pensions de retraites sur l'inflation
Defiscaliser les primes mutuelles des retraités a hauteur de 50 % comme dans le privé"
Aucune,Coût de fonctionnement des institutions françaises Audit des coûts de fonctionnement de nos institutions.
Aucune,TAXES sur les produits de consommation Fixer la TVA sur les produits de 1ère nécessité (produits pour la survie)  à 1% maximum  voir  0 % afin de redonner du pouvoir d'achat au plus démunis
Aucune,"Plus de pouvoir d'achat aux retraités 

Donner du pouvoir d’achat aux retraités en indexant l’augmentation sur le coût de la vie référence INSEE et non pas 0.30% alors que le coût de la vie augmente de 1.70%. 




"
Aucune,"Suppression des contrats aidés Remettre en place les contrats aidés sous une autre forme, car ils m'ont permis de travailler pendant les 10 ans qui ont suivi mon licenciement après la fermeture de la société où j'ai travaillé 30 ans. 
Mr MACRON va aider la ""grande pauvreté"" grâce notamment à la suppression des contrats aidés qui ""coûtaient trop cher à l'état"". ""Grâce à cela"",  j'ai perdu mon contrat le 1er septembre 2018 à un an de la retraite, (on aurait pu me renouveler).
Il a dit que ceux qui défendaient les Contrats Aidés n'en voudraient pas pour eux-mêmes et bien moi je défends ce contrat qui m'a permis de rester dans la vie active et de ne pas être inscrite au POLE EMPLOI , comme je le suis actuellement pour ma dernière année de vie professionnelle, même s'il n'était pas parfait.

"
Aucune,Logement prix des loyers Encadrer le prix des loyers des logements ; les augmentations du prix des loyers ne sont plus tenables ; récompenser les propriétaires qui diminuent fortement leurs loyers (baisse au niveau des impositions pour les propriétaires) ceci permettrait de  redonner du pouvoir d'achat aux citoyens notamment pour ceux qui ne bénéficient pas de l'APL mais qui sont juste au dessus des plafonds et qui ont cependant des salaires faibles  pour qui le loyer peut représenter la moitié du salaire
Aucune,"Agriculture éEévage Le  lancement d’un « lundi vert » (sans viande ni poisson) soutenu par collectif de citoyens: nous devons repenser nos modes d’alimentation et de consommation afin qu’ils deviennent soutenables et équitables pour tous les habitants de notre planète, les humains comme les animaux.
Rendre à l’animal sa
dignité
Jamais nos sociétés n’ont mis à mort autant
d’animaux qu’aujourd’hui : en France, plus de 3 millions d’animaux sont
abattus par jour, dans des conditions souvent déplorables. Jamais elles n’ont
autant imposé aux corps des animaux un tel rendement économique.
Paradoxalement, jamais elles n’ont autant appauvri la diversité du vivant.

Nécessité de transformer le
rapport humain/animal en une coopération respectueuse de chacun et non une
exploitation.

Cette mutation est incontournable si nous voulons continuer à nourrir l’humanité et permettre à la faune et à la flore sauvages de survivre. Ce n’est pas par la violence (verbale ou physique) que nous y parviendrons.

"
Aucune,"Surconsommation électrique et pollution lumineuse Chaque année les entreprises et collectivités usent de 44 Tera Watt h d’électricité juste pour de l’éclairage : http://www.afe-eclairage.fr/afe/l-eclairage-en-chiffres-26.html . Cela représente un surcout de 2 à 4 milliards d’€ par an. Encore trop de commerces et surfaces commerciales usent encore de leur éclairage de nuit sans justification. Ces pratiques doivent être sanctionnées ou taxées. Pour diminuer toujours cette surconsommation électrique, c’est réduire voire supprimer les illuminations en période de noël par les collectivités."
Aucune,"Retraités revalorisation Pour les retraités :
 1 /rétablissement de la revalorisation des pensions versées aux retraités tous les ans en fonction des prévisions de l’inflation 
2 /suppression du surplus de la csg (1.7) pour tous les retraités 
3/ création d un crédit d impôt sur les cotisations mutuelles versées par les retraités 
"
Aucune,Egalité d'accès aux études Augmenter les plafonds pour l'attribution des bourses et des aides au niveau scolaire afin de permettre à tous d'accéder de manière égale à toutes les écoles à toutes les formations ; lutte contre l'école des riches et des pauvres; aujourd'hui certaines écoles compte tenu des tarifs d'inscription imposés sont inaccessibles aux familles aux revenus modestes ; au 21ème siècle c'est inacceptable ! cela ne devrait plus exister
Aucune,"Lutte contre la pauvreté Interdiction pour les services administratifs (caf par exemple) de supprimer les aides sans délais raisonnable (2 mois), sans prévenir suffisamment à l'avance  afin de laisser à chacun la possibilité de se défendre et de fournir les pièces nécessaires  avant de créer une réelle précarité de ces personnes déjà fragilisées; "
