category,Contributions
Autre sujet,"Accès au #numérique Toutes les mairies, quelque soit la taille de la ville ou du village devrait donner l'accès à un ou plusieurs ordinateurs pour les administrés exclusivement. Idéalement l'accompagnement serait possible.
Les administrés devraient pouvoir accéder à différentes plateformes publiques pour leurs démarches administratives. 
Aujourd'hui certains centres sociaux, certaines médiathèques le permettent mais avec des contraintes d'horaires et d'inscriptions. L'hôtel de ville est l'endroit idéal pour donner un accès au numérique à tous les publics."
Autre sujet,Allocations chômage Plafonner les allocations à 4500 € par mois maximum
Autre sujet,"Education des métiers manuels Remettre (ou mettre ) des le plus jeune age des cours manuels :
cuisine,menuiserie,couture,bricolage ,etc....pour les 2 sexes
celà permet de revaloriser les métiers et est bon pour l'écologie : 
si on sait réparer,recoudre,cuisiner....on jette moins,on recycle plus !!!
et  l'on consomme moins de plats préparés et plus de plats cuisinés"
Autre sujet,"Légalisation de l'euthanasie et du suicide assisté  Je propose la légalisation de l'euthanasie et du suicide assisté, ainsi que l'accès universel aux soins palliatifs.
Les sondages, concordants, montrent que les Français sont favorables à la législation de l'euthanasie. Une liberté supplémentaire enrichit une société sans rien enlever à qui que ce soit."
Autre sujet,"Révision des barèmes sociaux Bonjour à tous,
La révision  du barème social permettrait de redonner du pouvoir d'achat à la classe qui se trouve entre deux paliers.  Pour ceux qui ne travaillent pas ils ont tous et ceux qui travaillent au SMIC ou un peu au dessus n'ont rien. Réviser le barème pourrait aider les familles à payer moins d'impôts, à bénéficier des APL, aides pour les vacances, la cantine des enfants et j'en passe. Et tout ça sans toucher les ménages aisés
Merci "
Autre sujet,"Obliger les entreprises a embaucher et former les personne handicapés  et sans diplôme  Je vous signal  que rien ai fait pour  les chromeurs handicapés 
Obligé les entreprises a embauché et arrêter d aller chercher des étranger
il faut que les enterprises a  a faire des forum ou salon de l emploi dans d autres département j entends les patrons par exemple de paris bordeaux dire qui ne trouve pas mais si ils comptent sur pole emploi il se trompent moi cela fait onze ans que je cherche du travail "
Autre sujet,"Notre système économique est-il bien adapté ? Organisation un sommet international où la question serait :
Le modèle économique dominant est-il toujours adapté aux nouveaux enjeux ? Cette question pourrait se décliner en plusieurs thématiques.
Notre système économique  :
_assure-t-il encore le partage équitable des richesses matériels et immatériels entre les individus?
_n'entrave-t-il pas la liberté et la souveraineté des peuples ?
_permet-il le développement positif des nations ?
_est-il cohérent à la survie de notre espèce et plus largement à son environnement ?"
Autre sujet,"Les prix à la consommation Autrefois, la baguette était vendue 0.50 centimes de Franc. Aujourd'hui elle est vendue 1, 50 €, soit près de 9.84 Francs. Le prix du blé a-t-il subi une augmentation de 10 fois son prix ? Les agriculteurs devraient être très riches. Mon salaire n'a pas non plus été multiplié par 10. Je ne parle pas des fruits et légumes, ni de la viande et encore moins du poisson. Le passage à l'euro n'a pas été contrôlé et les dérives constatées aujourd'hui sur le pouvoir d'achat viennent de là. Les grossistes et intermédiaires se servent trop largement au passage. Il faut donc instaurer des filières courtes. Cela amènera moins de pollution, des prix plus justes et des producteurs mieux rémunérés. Mais les gens devraient aussi admettre qu'on ne mange pas de tomates à Noël ni de choux en avril. Le bon sens doit être retrouvé par tous les consommateurs."
Autre sujet,"INSERTION sur le marché du travail Bonjour, 

Mon idée est de développer l'alternance ainsi que la possibilité de faire des stages dès la première année de faculté car nous avons un vrai problème au niveau de l'insertion des jeunes diplômés sur le marché du travail. 

Donner plus de moyens aux entreprises pour la formation. 

Merci pour vos réponses 
"
Autre sujet,"Formations aux métiers manuels Les jeunes pensent que la vie est faite de travail derrière un ordinateur. Plus personne ne veut devenir boulanger, couvreur, maçon, restaurateur. Ces métiers sont bien trop fatigants. Mais une bonne formation au sein de ces filières permet de trouver facilement un emploi. Le système éducatif doit permettre d'orienter vers ces métiers. Tout le monde ne peut pas être ingénieur ou cadre. Ce n'est pas la réforme du bac qui va favoriser l'emploi dans ces métiers. Il faut que ces métiers soient reconnus car ils nécessitent des compétences mais également du courage et donc une juste rémunération. Il faut également tenir compte de la pénibilité de ces métiers et ne pas obliger ces personnes à travailler jusque 65 ans et plus pour qu'ils aient une retraite décente."
Autre sujet,Assemblée constituante 6ème République Comment concrètement mettre au point une assemblée constituante  en vue d'une nouvelle constitution
Autre sujet,"Le Granddébat .fr trop partial et dirigé Sans prendre position pour l'un ou l'autre, je trouve que le site du granddébat.fr  est fait pour influencer les contributeurs et non pour lancer une vraie concertation :
il faut commencer par répondre à une série de question avant d'aborder le sujet qui nous tiens à cœur,
la mise en page est impossible, donc les textes trop longs sont illisibles
il est impossible de voter pour une idée qui nous semble intéressante.
la quasi totalité de forums n' agissent pas comme cela, il s'agit donc bien d'une volonté biaiser le débat, et de manipuler les résultats.
un début de campagne électorale prématurée aux frais des contribuables."
Autre sujet,"Un prélèvement inégalitaire sur les retraites complémentaires La loi de financement de la Sécurité sociale pour 2018 a supprimé, pour les salariés, outre leur cotisation chômage, leur cotisation maladie. Mais elle a maintenu le prélèvement spécifique  de 1 pour cent sur les retraites complémentaires, 
des retraités.
 Obtenir la suppression de celle ci  serait  que réparer une situation injuste et discriminatoire

"
